sl No,item_code,item_description
2587,500.7,"a) ABS niche type 12W LED, 12 V underwater light with 3 meter cable etc.  complete complying with relevant standard specifications and as directed by the departmental officers. (The brand and quality of materials should be got approved from the EE before use)."
2588,500.7.b,b) Junction Boxes ABS box to be fixed on the deck etc.  complete complying with relevant standard specifications and as directed by the departmental officers. (The brand and quality of materials should be got approved from the EE before use).
2589,500.7.c,c) Flexible Cable conduits for fixing lights  etc.  complete complying with relevant standard specifications and as directed by the departmental officers. (The brand and quality of materials should be got approved from the EE before use).
2590,500.7.d,d) Transformers for lights  etc.  complete complying with relevant standard specifications and as directed by the departmental officers. (The brand and quality of materials should be got approved from the EE before use).
2591,500.8,a) Flexible vacuum head with rollers Metallic conn. Clip conn  etc.  complete complying with relevant standard specifications and as directed by the departmental officers ( The brand and quality of materials should be got approved from the EE before use ).
2592,500.8.b,"b) Extensible handles for cleaning attachments in anodized aluminium which can be adopted to the entire range of cleaning equipment, brushes, leaf skimmers and scoops. 2.4-4.8mts. Long  etc.  complete complying with relevant standard specifications and as directed by the departmental officers ( The brand and quality of materials should be got approved from the EE before use )."
2593,500.8.c,"c) Transparent blue plastic vacuum hose 11/2"" dia 10mtrs long including hose cuffs for connection to suction inlets.  etc.  complete complying with relevant standard specifications and as directed by the departmental officers ( The brand and quality of materials should be got approved from the EE before use )."
2594,500.8.d,d) Deep bag net made in polypropelene and white polyester netting clip connection  etc.  complete complying with relevant standard specifications and as directed by the departmental officers ( The brand and quality of materials should be got approved from the EE before use ).
2595,500.8.e,e) Curved brushes made in polypropelene for pool basins and scum liners  etc.  complete complying with relevant standard specifications and as directed by the departmental officers ( The brand and quality of materials should be got approved from the EE before use ).
2596,500.8.f,f) Algae brushes with stainless steel bristles  etc.  complete complying with relevant standard specifications and as directed by the departmental officers ( The brand and quality of materials should be got approved from the EE before use ).
2597,500.8.g,g) Test kit for free chlorine & pH  etc.  complete complying with relevant standard specifications and as directed by the departmental officers ( The brand and quality of materials should be got approved from the EE before use ).
2598,500.8.h,"Consultancy, preparation of drawings  and approval etc., complete complying with relevant standard specifications and as directed by the departmental officers"
2599,500.9,UNDER WATER LIGHT&ACCESSORIES
2600,500.9.i,Supplying and fixing following UNDER WATER LIGHT AND ACCESSORIES of best approved quality complying with relevant standard specifications. (The light and accessories should be got approved from the EE before use)
2601,500.9.a,"a) Under water lights, nich type with 12V/300W bulb (Certikin / equivalent )"
2602,500.9.b,b) Deck box (IP 68) for under Water light (Certikin/ equivalent)
2603,501,Electrical cables and control panel   etc.  complete complying with relevant standard specifications and as directed by the departmental officers ( The brand and quality of materials should be got approved from the EE before use ).
2604,501.1,"Piping ( all pipes from the pool to the plant room with necessary ball valves, check valves and fittings) Media for filter, successful commissioning of the pool  etc.  complete complying with relevant standard specifications and as directed by the departmental officers ( The brand and quality of materials should be got approved from the EE before use )."
2605,501.2,Supplying and fixing the following stainless ladder of best approved quality etc. complying with relevant standard specifications and as directed by the departmental officers.
2606,502,( The quality of ladder should be got approved from the EE before use )
2607,502.a,a) 4 step over flow type ( Aqua source / equivalent )
2608,502.b,b) 5 step over flow type ( Aqua source / equivalent )
2609,502.c,"Supplying and fixing the following materials of best approved quality etc, complete complying with relevant standard specifications (the materials should be got approved from the EE before use) "
2610,503,a) CP brass or SS cup anchors for lane ropes (Aqua  source / equivalent )
2611,503.b,"b) Galvanised M.S. insects, puddle pipes for inlet overflow and drain"
2612,503.1,"Supply and delivery of 12mm thick Nylon rope of best approved quality  etc., all complete in all respects complying with relevant standard specification and as directed by the departmental officer"
2613,504,"Piping following best approved quality UPVC 10 Kg Class pipes with heavy quality fittings with ISI mark using fabricated fitting where ready-made fittings are not available.  All pipes and fittings to be pressure tested before being buried, etc.  complete complying with relevant standard specifications. "
2614,504.I,I.  OVERFLOW :
2615,504.a,a) 63 mm dia 
2616,504.b,b) 140 mm dia
2617,504.c,c) 160 mm dia 
2618,504.d,d) 200 mm dia
2619,504.e,e) 315 mm dia
2620,504.ii.a,a.  110 mm dia 
2621,504.iii,III.  INLET 
2622,504.iii.a,a) 160 mm dia 
2623,504.iii.b,b) 110 mm dia
2624,504.iii.c,c)  90 mm dia 
2625,504.iii.d,d)  63 mm dia 
2626,504.iv,IV.  Pump Suction
2627,504.iv.a,a) 200 mm dia 
2628,504.v,V.  Pump Delivery
2629,504.v.a,a.  160 mm dia 
2630,504.vi,VI.  Filter Outlet
2631,504.vi.a,a.  160 mm dia 
2632,504.vi.a(i),"Supply and delivery of UPVC - Non Pressure Pipes as per IS 15328/2003,SN8- SDR 34 with excise duty suitable for plumbing by threading of wall thickness fixing  on wall to the proper gradient and alignment and redoing the chipped of masonry etc., complete complying with relevant standard specifications and as directed by the departmental officers. (The pipe quality and brand should be got approved from the EE before use )."
